generator_name,entity_id,plant_id,generator_id
JOU_WAUE NEALS4_JOU,12341.0,7343,4
JOU_WAUE COY_WAU1_UNIT,14232.0,8222,1
W_BAR_NU WBN_01,18642.0,7722,1
W_BAR_NU WBN_02,18642.0,7722,2
8RACCOON RACCOON01,18642.0,6151,1
8RACCOON RACCOON02,18642.0,6151,2
8RACCOON RACCOON03,18642.0,6151,3
8RACCOON RACCOON04,18642.0,6151,4
5DECATUR DEC_01_CT,2929.0,55292,CTG1
5DECATUR DEC_02_CT,2929.0,55292,CTG2
5DECATUR DEC_03_CT,2929.0,55292,CTG3
5DECATUR DEC_05_ST,2929.0,55292,STG1
PDISE_CT PCC_CT5,18642.0,1378,CT5
PDISE_CT PCC_CT6,18642.0,1378,CT6
PDISE_CT PCC_CT7,18642.0,1378,CT7
GALLA_FP GAF_01,18642.0,3403,1
GALLA_FP GAF_02,18642.0,3403,2
GALLA_FP GAF_03,18642.0,3403,3
GALLA_FP GAF_04,18642.0,3403,4
COLBERT  CCT_09,18642.0,47,GT9
COLBERT  CCT_10,18642.0,47,GT10
COLBERT  CCT_11,18642.0,47,GT11
M_SHOALS MSS,63647.0,62462,GEN01
MAGNOLI_ MCC_01_CT,18642.0,55451,CTG1
MAGNOLI_ MCC_02_CT,18642.0,55451,CTG2
MAGNOLI_ MCC_03_CT,18642.0,55451,CTG3
MAGNOLI_ MCC_01_ST,18642.0,55451,STG1
MAGNOLI_ MCC_02_ST,18642.0,55451,STG2
MAGNOLI_ MCC_03_ST,18642.0,55451,STG3
CALDONIA CCC_01_CT,18642.0,55197,CTG1
CALDONIA CCC_02_CT,18642.0,55197,CTG2
CALDONIA CCC_03_CT,18642.0,55197,CTG3
CALDONIA CCC_01_ST,18642.0,55197,STG1
CALDONIA CCC_02_ST,18642.0,55197,STG2
CALDONIA CCC_03_ST,18642.0,55197,STG3
5RSLVSOL RUSLVL_SOLAR,65743.0,66818,RUSVL
YUM_YUM  YYS,49893.0,63026,GEN1
ELORA    ELS,63418.0,63719,ELO
BRWNSVIL BCT_01,18642.0,55081,1
BRWNSVIL BCT_02,18642.0,55081,2
BRWNSVIL BCT_03,18642.0,55081,3
BRWNSVIL BCT_04,18642.0,55081,4
KEMPER   KCT_01,18642.0,7960,GT1
KEMPER   KCT_02,18642.0,7960,GT2
KEMPER   KCT_03,18642.0,7960,GT3
KEMPER   KCT_04,18642.0,7960,GT4
